feature,spearman_rho
Depression_severity,1.0
PTSD_severity,1.0
speech_percentage,1.0
speech_length_minutes,1.0
speaker_percentage,1.0
participant_utterance_count,1.0
num_turns,1.0
num_phrases,1.0
num_interrupts,1.0
mean_turn_length_minutes,1.0
mean_pre_turn_pause,1.0
mean_phrases_per_turn,0.9999999999999998
mean_turn_length_words,0.9992319891801347
speech_length_words,0.9987628672053187
words_per_min,0.9935074002481176
syllables_per_min,0.9900631834049797
mean_pause_variability,0.9714520642797381
num_one_word_phrases,0.9474558622806453
num_one_word_turns,0.9460049469066933
phrase_repeat_percentage,0.9329246424983224
mean_pre_word_pause,0.9190606156775628
sentiment_vader_overall,0.9187485201135677
mattr_100,0.8905242203052424
prop_verb_past,0.8886078794328804
mattr_50,0.8835428868180377
sentiment_pos,0.8688670263408441
vader_pos_tail_mass,0.8670848359398319
first_person_percentage,0.8664109611489557
first_person_sentiment_positive,0.8651112201032861
first_person_sentiment_overall_vader,0.8567311964455729
turn_to_previous_speaker_turn_similarity_mean,0.8528253656847754
first_person_sentiment_positive_vader,0.8516903724647299
sentiment_overall,0.8511929834684517
prop_function_words,0.8506500100978045
sentiment_vader_neg,0.8504533110478625
first_order_sentence_tangeniality_mean,0.8486431435907793
mattr_25,0.8410865237586914
first_person_sentiment_overall,0.8370687516228613
mattr_10,0.8318594385620727
vader_hist_entropy,0.8270136464614409
first_person_sentiment_negative,0.8120302357116068
sentiment_neg,0.8094584691728456
sentiment_neu,0.7922771991575547
vader_hist_bin_12,0.7920472815216838
vader_neutral_mass,0.7902137063293709
first_order_sentence_tangeniality_var,0.7875704682496177
word_repeat_percentage,0.778473788984738
first_person_sentiment_negative_vader,0.7744444765009666
second_order_sentence_tangeniality_mean,0.7739684371483799
sentiment_vader_pos,0.7706795657916086
sentiment_vader_neu,0.7660604925815401
turn_to_previous_speaker_turn_similarity_slope,0.7532708231153169
turn_to_previous_speaker_turn_similarity_var,0.7444118750180319
turn_to_turn_tangeniality_var,0.7224702304994276
mattr_5,0.7145539243752308
second_order_sentence_tangeniality_var,0.7025415460451958
vader_neg_tail_mass,0.6664940417783293
turn_to_turn_tangeniality_mean,0.6509131300308704
vader_hist_bin_23,0.6491138923239097
vader_hist_bin_22,0.6345888436374894
semantic_perplexity_mean,0.6091480338132195
turn_to_turn_tangeniality_slope,0.6021636757403181
vader_hist_bin_21,0.5265505524588784
word_coherence_mean,0.5185528403681371
semantic_perplexity_var,0.5103043766769568
word_coherence_variability_6_mean,0.48012982891434186
word_coherence_variability_7_mean,0.4696488849138801
word_coherence_variability_5_mean,0.4628931652289316
word_coherence_5_mean,0.44891376475000727
word_coherence_variability_2_mean,0.4482098035255763
word_coherence_variability_8_mean,0.444498427627593
word_coherence_10_mean,0.43999249877383806
vader_hist_bin_19,0.4399336767686658
word_coherence_variability_4_mean,0.4360220420645683
word_coherence_variability_9_mean,0.42842560803208213
word_coherence_variability_3_mean,0.41086985372608986
word_coherence_variability_10_mean,0.40241885692853646
vader_hist_bin_20,0.3858699785095045
word_coherence_var,0.3858480713193503
semantic_perplexity_5_var,0.38493234471019305
vader_hist_bin_07,0.3800839406507742
vader_hist_bin_04,0.3556281919389251
vader_hist_bin_05,0.3496692960674489
word_coherence_variability_3_var,0.33924641527942073
vader_hist_bin_03,0.3142172524472873
word_coherence_variability_2_var,0.30401488704884455
vader_hist_bin_08,0.30321435329447366
word_coherence_variability_5_var,0.2944589019358934
semantic_perplexity_5_mean,0.2923158593231586
vader_hist_bin_01,0.2834969945009159
vader_hist_bin_11,0.2718905122447001
vader_hist_bin_10,0.26039716922380635
word_coherence_variability_7_var,0.2597461123452872
vader_hist_bin_02,0.25497954297243713
vader_hist_bin_18,0.2492998702128394
semantic_perplexity_11_mean,0.24918380889183808
vader_hist_bin_06,0.2434962871242845
vader_hist_bin_13,0.23727816799513413
word_coherence_variability_4_var,0.2336112633795909
word_coherence_5_var,0.22612503966994607
word_coherence_variability_6_var,0.21623784657107412
vader_hist_bin_15,0.20667978466142833
vader_hist_bin_09,0.179822222063126
word_coherence_variability_8_var,0.17829895271342433
semantic_perplexity_15_mean,0.1726239866131964
word_coherence_10_var,0.15837454199244108
semantic_perplexity_11_var,0.1487695104007386
word_coherence_variability_9_var,0.13139032341825108
vader_hist_bin_17,0.11698237706621245
semantic_perplexity_15_var,0.10840483540578749
vader_hist_bin_14,0.08055507472517849
word_coherence_variability_10_var,0.037075098814229254
vader_hist_bin_16,0.019738311287025193
